pos0,pos1,pos2,pos3,pos4,gripper_closed
24000,2500,14500,0,0,1
24000,2500,1300,0,0,1
24000,9900,-100,-6385,-6354,1
24000,10800,-100,-6385,-6354,1
24000,9000,-100,-6385,-6354,1
24000,8400,2900,-6385,-6354,1
24000,10000,3900,-6385,-6354,1
24000,12400,5500,-6385,-6354,1
24000,12800,6100,-7384,-7348,1
24000,13400,7100,-7384,-7348,1
24000,13600,8100,-8382,-8343,0
24000,14400,7700,-8382,-8343,0
24000,14400,7400,-8382,-8343,0
24000,14400,7400,-8382,-8343,1
24000,8800,9700,-9379,-9333,1
24000,9900,-100,-6385,-6354,1
24000,2500,1300,0,0,1
24000,2500,14500,0,0,1
