,pos_q0,pos_q1,pos_q2,pos_q3,pos_q4
0,24000,2499.7000000000007,14500,-9500,5250
1,23995,2522.5224258747876,14500,-9508,5253
2,23968,2667.6445520992984,14504,-9559,5271
3,23901,3019.340121771669,14514,-9685,5315
4,23785,3624.884649312795,14531,-9901,5390
5,23619,4499.48851762332,14556,-10213,5498
6,23403,5631.230075240577,14588,-10616,5638
7,23145,6985.988733495571,14626,-11099,5806
8,22854,8512.378063669928,14669,-11643,5995
9,22543,10146.678894152865,14715,-12226,6197
10,22225,11817.77240759816,14762,-12822,6404
11,21914,13452.073238081099,14808,-13405,6607
12,21623,14978.462568255458,14851,-13949,6796
13,21365,16333.221226510443,14889,-14432,6964
14,21149,17464.962784127714,14921,-14836,7104
15,20983,18339.566652438247,14945,-15147,7212
16,20867,18945.111179979343,14962,-15363,7287
17,20800,19296.80674965174,14972,-15489,7331
18,20773,19441.928875876245,14976,-15540,7349
19,20768,19464.751301751032,14977,-15549,7351
